eval rewards,goals,eval successes,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
0.0,14,0.0,89.11,4363,900,0.12,17,77138,76100,1e-05,0.12085097700357438,0.002100077998184133
0.0,14,0.0,89.11,4367,904,0.12,17,77538,76500,1e-05,0.11636418521404267,0.0008627780337701552
0.0,14,0.0,90.1,4371,908,0.11,17,77938,76900,1e-05,0.13817548125982285,0.013891910806996748
0.0,14,0.0,90.41,4375,912,0.11,17,78275,77250,1e-05,0.1283817160129547,0.00723787174327299
0.0,14,0.0,91.14,4379,916,0.1,17,78675,77650,1e-05,0.1322418260574341,0.19430629777285502
0.0,14,0.0,92.13,4383,920,0.09,18,79075,78050,1e-05,0.12516051441431045,0.0006516292465676088
0.0,14,0.0,92.16,4386,924,0.09,18,79380,78350,1e-05,0.1252136182785034,0.004433632905565901
0.0,14,0.0,92.16,4390,928,0.09,18,79780,78750,1e-05,0.12825932294130327,0.006390191732207313
0.0,14,0.0,91.45,4847,932,0.1,16,80109,79100,1e-05,0.12992492079734802,0.0021644845562695993
0.0,14,0.0,90.46,4850,936,0.11,16,80410,79400,1e-05,0.12403697162866592,0.002673327910451917
0.0,14,0.0,90.46,4854,940,0.11,16,80810,79800,1e-05,0.12904545903205872,0.0018316177812812385
0.0,14,0.0,91.4,4857,944,0.1,16,81111,80100,1e-05,0.12962518662214279,0.0006589954428636702
0.0,14,0.0,90.41,4860,948,0.11,16,81412,80400,1e-05,0.13381478309631348,0.003711633796847309
0.0,14,0.0,90.41,4864,952,0.11,16,81812,80800,1e-05,0.13366037666797637,0.0024410561655531637
0.0,14,0.0,88.91,4867,956,0.13,16,82062,81050,1e-05,0.12849064975976943,0.0051495406728645325
0.0,14,0.0,89.78,4871,960,0.12,16,82462,81450,1e-05,0.13397315740585328,0.0004984715451428201
0.0,14,0.0,88.04,4873,964,0.14,16,82688,81650,1e-05,0.1309066766500473,0.0021660773851181147
0.0,14,0.0,88.04,4878,968,0.14,17,83088,82050,1e-05,0.12519039541482926,0.00667735578288557
0.0,14,0.0,88.0,4881,972,0.14,17,83405,82400,1e-05,0.12476153880357742,0.01350250008777948
0.0,14,0.0,88.69,4885,976,0.13,17,83805,82800,1e-05,0.13332356303930282,0.004482542035693768
0.0,14,0.0,88.69,4888,980,0.13,17,84106,83100,1e-05,0.13759491086006165,0.0032171218714211135
0.0,14,0.0,88.69,4892,984,0.13,17,84407,83400,1e-05,0.1318586441874504,0.0017043229679984506
