# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
1.0,34,28.987671
0.0,84,29.024776
1.0,52,29.044856
0.0,46,29.074436
1.0,87,29.099404
0.0,42,29.115313
0.0,9,29.128723
0.0,26,29.142295
1.0,39,29.161508
0.0,2,29.171391
1.0,46,29.191136
0.0,12,29.202111
1.0,34,29.223046
0.0,97,29.26427
1.0,33,29.283146
0.0,52,29.314695
1.0,30,29.334283
0.0,112,29.355418
1.0,77,29.380104
0.0,45,29.397311
0.0,40,29.41817
0.0,13,29.431334
1.0,13,29.442357
0.0,14,29.453354
1.0,16,29.464937
0.0,8,29.492399
1.0,19,29.502533
0.0,44,29.516018
1.0,59,29.535336
0.0,9,29.543561
0.0,44,29.565171
0.0,67,29.59733
0.0,38,29.617926
0.0,7,29.626302
0.0,39,29.641105
0.0,55,29.670789
1.0,34,29.683381
0.0,40,29.691379
1.0,13,29.702714
0.0,30,29.718007
1.0,24,29.730815
0.0,5,29.741195
1.0,53,29.7641
0.0,109,29.787348
